farm_id,animal_type,temperature,humidity,feed_intake,water_intake,movement_level,milk_output,heart_rate,body_temperature,vaccination_gap_days,waste_output,cough_frequency,nearby_outbreak_score,region,timestamp
1,goat,33.29968192023311,73.75441494585408,65.42736367279775,46.44511278620475,40.80141669982687,19.64763213061272,70.71571565244423,39.47934715533932,346,14.161774093655783,2,0.3030586342166399,West,2025-01-01 00:00:00
2,poultry,31.08502974788349,82.48482440933849,52.4347507713677,75.05068443130916,98.1808022717827,17.442812356087302,62.16914563623558,38.32241709766828,202,19.68379368357454,1,0.07275993158256067,South,2025-01-01 01:00:00
3,cow,31.417846616002386,86.32315811867178,45.95842840520697,62.22798914999714,37.95936438224399,18.948361135672545,70.68820279650427,38.35409143115374,8,15.326051729823048,0,0.8849886056707629,South,2025-01-01 02:00:00
4,goat,21.170221443997328,78.30560260797157,50.01794872878107,61.92644304887816,63.86253991024257,15.16372631009467,70.31522349268087,38.87323894299412,179,14.791734093847749,2,0.12264417722520338,West,2025-01-01 03:00:00
5,goat,34.059719926932004,81.03481183839597,51.17707418460958,55.23380430737182,16.107417806946867,21.952421469371675,79.46446783304778,39.050945692861,155,17.6514580173877,0,0.6968387260854527,North,2025-01-01 04:00:00
6,poultry,29.30625265616928,63.03271803719973,33.28238726671833,21.511518512313494,98.04488986363927,25.375603744908783,73.94998497095878,38.423375675710815,18,8.299917255343903,1,0.5056618688178474,North,2025-01-01 05:00:00
7,cow,26.153614303768983,79.55329358560888,77.10331644334893,92.62466123121325,70.39859218646633,15.916934850895068,67.46735788262858,38.31677575834381,102,15.608950734877979,1,0.8317678285758066,South,2025-01-01 06:00:00
8,cow,28.716942336711256,48.21023454887713,55.198710181019116,54.99594215834817,75.33775452463684,26.406348227006713,86.04263067260668,37.16941208756814,245,15.653564408674791,1,0.7410357482166817,North,2025-01-01 07:00:00
9,goat,19.1188238355084,53.90872572655286,52.10008308022589,63.81369895225139,6.577670341114461,20.567607482389707,76.40425867444834,38.033194652580065,84,17.481824493023236,1,0.7597380053396857,West,2025-01-01 08:00:00
10,buffalo,30.043264057403356,49.01478082911266,56.151639842785805,48.17661752066034,76.34178142206719,21.205394882029065,79.35415652730941,37.81641299675947,318,15.880997810818597,0,0.41834627765784926,North,2025-01-01 09:00:00
11,goat,22.853142459089643,58.043240126875524,57.09410980586605,84.5789551516095,77.47234292206014,11.502852401962409,57.75014565868733,38.910774997787136,350,11.611114425795147,1,0.8339761358960871,South,2025-01-01 10:00:00
12,goat,21.23664857078233,47.134776974318186,48.594465144975686,72.15143405555986,67.17727263622298,10.96368845217133,50.75735129302714,38.35365823083949,233,10.023803199701955,1,0.0947418755868058,West,2025-01-01 11:00:00
13,goat,20.388204068910547,87.6966865352668,43.687588637592995,57.60452072101197,29.190961379034363,20.72058181389841,60.62454218555592,38.33018703667664,134,16.91338795214773,1,0.4444190158606418,North,2025-01-01 12:00:00
14,goat,33.563441874949625,48.770677680340086,55.99450686321704,64.11655582983964,48.96900421608815,23.948660623160038,70.19456574393224,38.49456624182621,36,13.525912154708328,0,0.9946140608000046,East,2025-01-01 13:00:00
15,poultry,24.853683031536058,35.88267228665639,53.85710840531453,95.17269883187305,11.043437130871647,16.64309778177524,80.76356017613809,37.97789411792476,344,14.014396882317934,2,0.9481145450425357,West,2025-01-01 14:00:00
16,cow,35.6686385495825,61.6090299630248,41.90109900910592,68.90545852178083,47.15870664591526,28.350469502915445,51.57753129592702,39.431948312013255,91,12.427963596173868,0,0.0822125849821208,West,2025-01-01 15:00:00
17,poultry,25.32099268473851,33.42594470671058,64.19035611367264,67.27399693576142,24.382385260040486,23.67467987127158,90.92852064371988,39.27891634701797,291,15.041987258103395,1,0.5729855891668376,East,2025-01-01 16:00:00
18,poultry,19.463210212035264,36.63258997851483,52.93352036322983,55.87927770791102,34.909698649408206,15.458293741460075,76.70566026770126,39.470864069828615,16,14.782506330719805,2,0.31565061175407627,East,2025-01-01 17:00:00
19,poultry,22.417377800256705,43.16336335177478,57.29819362267631,41.581282742915455,16.26004084036986,20.154243335267537,88.6029499294991,38.91005033874333,89,11.335473741574171,1,0.728472535009875,West,2025-01-01 18:00:00
20,goat,34.179058100034695,57.8610149929285,63.91920887679919,67.59941989630984,23.005436774689702,32.38464566861706,66.14029917525872,38.48231313098684,347,17.312249205673965,4,0.7357874336485661,East,2025-01-01 19:00:00
